TrailingOnes, TotalCoeff, 0_n_2, 2_n_4, 4_n_8, 8_n, n_-1, n_-2
2, 9, 0000_0000_0100_1, 0000_0001_001, 0001_010, 1000_10, -, -
3, 9, 0000_0000_100, 0000_0010_0, 0011_00, 1000_11, -, -
0, 10, 0000_0000_0010_11, 0000_0000_1011, 0000_0111_1, 1001_00, -, -
1, 10, 0000_0000_0010_10, 0000_0000_1110, 0000_1010, 1001_01, -, -
2, 10, 0000_0000_0011_01, 0000_0000_1101, 0000_1101, 1001_10, -, -
3, 10, 0000_0000_0110_0, 0000_0001_100, 0001_100, 1001_11, -, -
0, 11, 0000_0000_0001_111, 0000_0000_1000, 0000_0101_1, 1010_00, -, -
1, 11, 0000_0000_0001_110, 0000_0000_1010, 0000_0111_0, 1010_01, -, -
2, 11, 0000_0000_0010_01, 0000_0000_1001, 0000_1001, 1010_10, -, -
3, 11, 0000_0000_0011_00, 0000_0001_000, 0000_1100, 1010_11, -, -
0, 12, 0000_0000_0001_011, 0000_0000_0111_1, 0000_0100_0, 1011_00, -, -
1, 12, 0000_0000_0001_010, 0000_0000_0111_0, 0000_0101_0, 1011_01, -, -
2, 12, 0000_0000_0001_101, 0000_0000_0110_1, 0000_0110_1, 1011_10, -, -
3, 12, 0000_0000_0010_00, 0000_0000_1100, 0000_1000, 1011_11, -, -
0, 13, 0000_0000_0000_1111, 0000_0000_0101_1, 0000_0011_01, 1100_00, -, -
1, 13, 0000_0000_0000_001, 0000_0000_0101_0, 0000_0011_1, 1100_01, -, -
2, 13, 0000_0000_0001_001, 0000_0000_0100_1, 0000_0100_1, 1100_10, -, -
3, 13, 0000_0000_0001_100, 0000_0000_0110_0, 0000_0110_0, 1100_11, -, -
0, 14, 0000_0000_0000_1011, 0000_0000_0011_1, 0000_0010_01, 1101_00, -, -
1, 14, 0000_0000_0000_1110, 0000_0000_0010_11, 0000_0011_00, 1101_01, -, -
2, 14, 0000_0000_0000_1101, 0000_0000_0011_0, 0000_0010_11, 1101_10, -, -
3, 14, 0000_0000_0001_000, 0000_0000_0100_0, 0000_0010_10, 1101_11, -, -
0, 15, 0000_0000_0000_0111, 0000_0000_0010_01, 0000_0001_01, 1110_00, -, -
1, 15, 0000_0000_0000_1010, 0000_0000_0010_00, 0000_0010_00, 1110_01, -, -
2, 15, 0000_0000_0000_1001, 0000_0000_0010_10, 0000_0001_11, 1110_10, -, -
3, 15, 0000_0000_0000_1100, 0000_0000_0000_1, 0000_0001_10, 1110_11, -, -
0, 16, 0000_0000_0000_0100, 0000_0000_0001_11, 0000_0000_01, 1111_00, -, -
1, 16, 0000_0000_0000_0110, 0000_0000_0001_10, 0000_0001_00, 1111_01, -, -
2, 16, 0000_0000_0000_0101, 0000_0000_0001_01, 0000_0000_11, 1111_10, -, -
3, 16, 0000_0000_0000_1000, 0000_0000_0001_00, 0000_0000_10, 1111_11, -, -
